TaskID,Sequence,Stage,Type,Priority,Title,SourceSection,P0ID,Dependencies,Deliverable,Acceptance,TestTypes,Status,EvidenceStatus,Owner,GitHubIssue,SuggestedBranch,Branch,CommitSHA,PullRequest,CI,HumanGate,Rollback,UpdatedAt,Notes
M0-001,1,M0,FOUNDATION,P0,冻结产品基线与变更规则,§15工程化要求、提示词包AGENTS.md,,,校验方案、提示词包、UI资产与执行包哈希，登记唯一基线；禁止旧方案回灌。,基线清单、哈希、变更审批流程可复核。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-m0-001,codex/m0-m0-001,958ce3952ea2395216fbadc3af244c5de6dbd8a1,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T04:49:40-04:00,方案/提示词/UI/执行包基线已登记；守卫允许V1.1并拒绝篡改与V1.0回灌；无origin故PR和CI阻塞。
M0-002,2,M0,FOUNDATION,P0,只读盘点本机与仓库环境,§15工程化要求、提示词包AGENTS.md,,M0-001,记录Node/pnpm/git/Docker/数据库工具、git状态、远程和凭据状态，不修改未知用户文件。,环境报告区分确认事实、缺口与外部阻塞。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-m0-002,codex/m0-m0-002,96346b15c23debfff03cf8c328da51e26bc3669c,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T05:14:14-04:00,只读盘点和敏感信息回归测试已通过；Docker后台/MySQL/Redis缺口归M0-005；无origin故PR和CI阻塞。
M0-003,3,M0,FOUNDATION,P0,确认GitHub目标与协作边界,§15工程化要求、提示词包AGENTS.md,,M0-002,从用户提供的owner/repo或可验证origin确定远程；未确认时仅本地开发。,仓库、默认分支、权限、禁止动作和人工审批项已登记。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-github,codex/m0-github,00346170e48733ebd1a46807a738deca0704848e,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T05:37:32-04:00,本地协作边界已登记并测试；owner/repo、默认分支和写权限未确认，远程Issue/PR/CI持续阻塞。
M0-004,4,M0,FOUNDATION,P0,初始化pnpm workspace与Turborepo,§15工程化要求、提示词包AGENTS.md,,M0-003,建立apps/packages分层、冻结包管理器版本和Node版本。,干净环境可冻结安装，目录职责明确。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-pnpm-workspace-turborepo,codex/m0-pnpm-workspace-turborepo,9067c36c87949693bc53432a57b149314b592cc2,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T05:53:45-04:00,Node22.23.1/pnpm10.12.1/Turbo2.10.8已锁定；临时干净目录冻结安装与工作区契约通过；真实质量命令保留至后续任务。
M0-005,5,M0,FOUNDATION,P0,初始化NestJS/Prisma/MySQL/Redis/BullMQ底座,§15工程化要求、提示词包AGENTS.md,,M0-004,提供本地可替换基础设施、健康检查和超时/重试边界。,API、MySQL、Redis可重复启动；不依赖生产凭据。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-nestjs-prisma-mysql-redis-bullmq,codex/m0-nestjs-prisma-mysql-redis-bullmq,5c8764c16ec2064ea146e51898b0716e0b43bd36,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T06:48:01-04:00,NestJS与Prisma/MySQL/Redis/BullMQ底座已完成；冻结安装、真实启动与重启、依赖降级、审计零已知漏洞均通过；无origin故PR与CI阻塞。
M0-006,6,M0,FOUNDATION,P0,初始化五端应用壳,§15工程化要求、提示词包AGENTS.md,,M0-005,建立公司后台、供应商后台、Next.js企业门户、用户小程序、跑腿小程序的独立入口；冻结公开/私有门户路由组和miniapp-kit请求适配边界。,五端独立构建；门户公开SSG/ISR区与私有noindex/no-store交易区分离；两个小程序通过唯一wx.request适配器复用生成契约类型。,lint+typecheck+unit+contract+seo-cache+miniapp-transport+build,DONE,LOCAL_PASS,CODEX,,codex/m0-m0-006,codex/m0-m0-006,a542c56b8e375c6331cc093d8f102d2bf837f5ea,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T07:57:07-04:00,五端独立应用壳、门户公开/私有缓存索引边界和唯一小程序请求适配边界已完成；干净冻结安装、9包lint/typecheck/build、17项包任务、运行态SEO缓存测试和生产审计均通过；未实现业务页面、OpenAPI或业务闭环。
M0-007,7,M0,FOUNDATION,P0,建立配置Schema与秘密扫描,§15工程化要求、提示词包AGENTS.md,,M0-006,只提交.env.example；引入配置校验、日志脱敏和秘密扫描。,缺配置快速失败；样例和日志无真实秘密。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-schema,codex/m0-schema,4d46293f668dcbd0dc5465ed65803e4fda9a3618,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T08:48:16-04:00,共享配置Schema、四层环境、生产防误配、结构化日志脱敏和Git已跟踪文件秘密扫描已完成；18项聚焦测试、10包lint/typecheck/build、真实基础设施、两轮干净安装及生产审计通过；未接入真实秘密或OpenAPI。
M0-008,8,M0,FOUNDATION,P0,建立确定性OpenAPI、统一类型与传输适配,§15.5 OpenAPI契约、§15.6门户渲染,,M0-007,建立无外部副作用且字节稳定的OpenAPI生成脚本、DTO白名单、统一错误结构、生成类型、Web openapi-fetch Client、小程序wx.request适配和oasdiff门禁。,openapi:generate可重复生成相同spec；spec/类型差异、全端typecheck和锁定版本oasdiff breaking检查进入CI；数据库实体不直接返回，供应价响应白名单生效。,lint+typecheck+unit+contract+deterministic-generation+oasdiff+miniapp-adapter+build,DONE,LOCAL_PASS,CODEX,,codex/m0-openapi-dto,codex/m0-openapi-dto,743142676f96530289259ec426c8689a30c0d315,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T21:56:19-04:00,确定性OpenAPI和生成类型已完成；Web三端复用openapi-fetch Client；两个原生小程序复用同一生成类型并保留唯一wx.request适配器；oasdiff 1.17.0发布包哈希与Git提交基线模式已验证；8项聚焦测试、12包lint/typecheck/build、干净冻结安装及生产依赖审计通过；未实现业务API或迁移；无origin故PR和CI阻塞。
M0-009,9,M0,FOUNDATION,P0,建立测试金字塔与失败测试模板,§15工程化要求、提示词包AGENTS.md,,M0-008,配置Vitest、Supertest、Playwright及并发/幂等测试工具。,示例失败测试先红后绿；报告可归档。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-m0-009,codex/m0-m0-009,4b93d52423b19eaabe65f01b56ec21b944d28d39,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T22:53:00-04:00,测试底座契约先红0/4后绿4/4；Vitest 4.1.10单元5/5、Supertest 7.2.2接口3/3、Playwright 1.62.1 Chromium 3/3通过；并发/幂等测试工具、失败模板、JSON/JUnit/HTML及SHA-256报告清单已建立；13包lint/typecheck/build、全仓回归、干净冻结安装和生产依赖审计通过；未实现业务功能、迁移、根verify或CI；无origin故PR和CI阻塞。
M0-010,10,M0,FOUNDATION,P0,建立Prisma迁移与回滚演练,§15工程化要求、提示词包AGENTS.md,,M0-009,创建validate、dry-run、备份/恢复与向前修复规则。,空库和升级路径均可演练，禁止编辑已发布迁移。,lint+typecheck+unit+contract+build,DONE,LOCAL_PASS,CODEX,,codex/m0-prisma,codex/m0-prisma,62ead13dfb9c6680a4c173fa09377ce6cf8e23b9,,BLOCKED_EXTERNAL,NO,按原子提交回退；迁移仅向前修复,2026-08-02T23:52:15-04:00,迁移契约先红后绿并最终3/3；已发布SQL修改、删除、重命名均阻断，新向前迁移允许；本地MySQL空库2、升级1→2、备份恢复1→2、drift NONE、重复deploy幂等、cleanup PASS；13包lint/typecheck/build、根回归、API、冻结干净安装和依赖审计通过；产品模型及SQL迁移均为0；根verify/CI归M0-011；无origin故PR和CI阻塞。
