ContractID,Stage,Domain,Method,Path,Actor,RequestDTO,ResponseDTO,CommonResponse,ErrorCodes,Idempotency,SensitiveFieldPolicy,MoneyRule,P0,OpenAPIStatus,DTOStatus,ErrorCodeStatus,ContractTest,Owner,Notes
API-091,M2,company-price-review,POST,/v1/company/price-reviews/supply-price-changes/{taskId}/decision,COMPANY_PRICE_REVIEW,ProductApprovalDecisionRequestDto,SupplyPriceChangeDto,"{success,data,error:{code,message,details?},requestId}",APPROVAL_VERSION_CONFLICT|SELF_APPROVAL_FORBIDDEN|SECOND_VERIFICATION_REQUIRED|APPROVAL_STATE_INVALID|IDEMPOTENCY_CONFLICT|AUDIT_REQUIRED|PRICE_EFFECT_SCHEDULE_FAILED,Idempotency-Key,ROLE_AND_SUPPLIER_SCOPE_WHITELIST; DTO白名单；不返回companyId/supplierId/identityId/functionalAccountId,整数分；供应价申请人与审核人identityId必须不同；旧价保持到批准且约定时间到达,"P0-019,P0-071",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/tiered-price-change-api.test.mjs|tests/contracts/m2-p019-tiered-price-change.contract.test.mjs|packages/contracts/openapi.json,CODEX,M2-P019任务内契约细化：上架后供应价变更使用独立决定接口，避免破坏API-026既有响应；并发/幂等/异人审核与定时生效均已覆盖。
API-001,M0,system,GET,/health/live,PUBLIC,None,HealthLivenessDto,"ApiErrorResponseDto:{statusCode,code,message,requestId,path,timestamp}",RESOURCE_NOT_FOUND|INTERNAL_ERROR,NONE,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,P0-048,GENERATED,IMPLEMENTED,IMPLEMENTED,M0-008-CONTRACT,CODEX,已由M0-008确定性生成；测试见tests/openapi/openapi-generation.test.mjs；成功响应为显式DTO白名单；异常由统一安全错误结构处理；无业务数据或供应价字段
API-002,M0,system,GET,/health/ready,INTERNAL,None,HealthReadinessDto,"ApiErrorResponseDto:{statusCode,code,message,requestId,path,timestamp}",SERVICE_UNAVAILABLE|INTERNAL_ERROR,NONE,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,P0-048,GENERATED,IMPLEMENTED,IMPLEMENTED,M0-008-CONTRACT,CODEX,已由M0-008确定性生成；测试见tests/openapi/openapi-generation.test.mjs；503保留HealthReadinessDto以表达基础依赖状态；其他异常使用统一安全错误结构；不暴露连接信息或供应价字段
API-003,M1,company-auth,POST,/v1/company-auth/login,COMPANY_USER,CompanyLoginRequestDto,WorkspaceChoiceResponseDto,"{success,data,error:{code,message,details?},requestId}",AUTH_INVALID|ACCOUNT_SUSPENDED|RATE_LIMITED,requestId,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,P0-066,GENERATED,IMPLEMENTED,IMPLEMENTED,tests/openapi/m1-p066-company-auth-contract.test.mjs;apps/api/test/supertest/company-auth-api.test.mjs,CODEX,独立公司登录；未知账号与错误凭证统一错误；5次失败后限流；单一有效账号直签Cookie，多账号返回服务端列表；生产凭证校验器未接入时失败关闭
API-004,M1,company-auth,POST,/v1/company-auth/workspaces/{accountId}/select,COMPANY_USER,SelectWorkspaceRequestDto,SessionResponseDto,"{success,data,error:{code,message,details?},requestId}",WORKSPACE_FORBIDDEN|SECOND_VERIFICATION_REQUIRED|WORKSPACE_SESSION_CONFLICT,selectionNonce,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,"P0-066,P0-067",GENERATED,IMPLEMENTED,IMPLEMENTED,tests/openapi/m1-p066-company-auth-contract.test.mjs;apps/api/test/supertest/company-auth-api.test.mjs,CODEX,选择nonce只存哈希且同requestId返回同值；客户端owner字段先拒绝；停用/过期账号不可选；同nonce改选其他账号冲突；原始会话令牌仅写Secure HttpOnly Cookie
API-005,M1,supplier-auth,POST,/v1/suppliers/registrations,PUBLIC,SupplierRegistrationRequestDto,SupplierRegistrationResponseDto,SupplierRegistrationResponseDto；错误={statusCode|code|message|details?|requestId},SUPPLIER_DUPLICATE|VALIDATION_FAILED|FIELD_FORBIDDEN|SINGLE_MERCHANT_VIOLATION|IDEMPOTENCY_CONFLICT|SERVICE_UNAVAILABLE,Idempotency-Key,NEVER_RETURN；DTO白名单；verificationCode仅写；响应不返回联系方式/完整资质/companyId/supplierId/供应价,N/A,"P0-003,P0-069",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p003-supplier-onboarding.contract.test.mjs,CODEX,M1-P003任务内契约细化；公开注册只创建可编辑草稿；真实短信核验未接入时生产默认503；不授予供应商业务会话
API-006,M1,supplier-auth,POST,/v1/supplier-auth/login,SUPPLIER_USER,SupplierLoginRequestDto,SupplierWorkspaceChoiceResponseDto,"{success,data,error:{code,message,details?},requestId}",AUTH_INVALID|SUPPLIER_NOT_ACTIVE|ACCOUNT_SUSPENDED|RATE_LIMITED|VALIDATION_FAILED|DATA_SCOPE_FORBIDDEN,requestId,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,P0-069,GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-auth-api.test.mjs;tests/openapi/m1-p069-supplier-auth-contract.test.mjs,CODEX,独立供应商登录；未知账号与错误凭证统一错误；主体与用户必须ACTIVE；选择nonce由服务端密钥及独立域HMAC派生；单账号直达以同requestId的隐藏不可变选择授权复用同一有效Cookie；verificationCode仅允许最多16字符字符串且非法值在Adapter前422；多账号返回服务端列表；生产凭证校验器未接入时失败关闭
API-007,M1,supplier-auth,POST,/v1/supplier-auth/workspaces/{accountId}/select,SUPPLIER_USER,SupplierSelectWorkspaceRequestDto,SupplierSessionResponseDto,"{success,data,error:{code,message,details?},requestId}",WORKSPACE_FORBIDDEN|SECOND_VERIFICATION_REQUIRED|WORKSPACE_SESSION_CONFLICT|VALIDATION_FAILED|DATA_SCOPE_FORBIDDEN,selectionNonce,NEVER_RETURN; DTO白名单；对象归属校验先于查询结果返回,N/A,"P0-069,P0-070",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-auth-api.test.mjs;tests/openapi/m1-p069-supplier-auth-contract.test.mjs,CODEX,选择nonce由服务端密钥独立域HMAC派生、只存哈希且同requestId不可覆盖；客户端归属字段先拒绝；停用过期账号不可选；secondVerificationCode仅允许最多16字符字符串且非法值不调用Adapter或消耗授权；首次二次验证成功后同nonce同账号完成态重放不再次消费一次性验证码并返回同一HMAC派生Cookie；无效/过期选择、不可用账号和同nonce改选冲突追加脱敏LoginAudit且不保存原始nonce；会话响应不返回supplierId；P070页面完整性仍未执行
API-008,M1,supplier,GET,/v1/supplier/me,SUPPLIER_ACCOUNT_ADMIN,None,SupplierProfileResponseDto,ApiErrorResponseDto,SUPPLIER_SCOPE_FORBIDDEN|AUTHENTICATION_REQUIRED,NONE,NEVER_RETURN；DTO白名单；无supplierId查询参数；对象归属校验先于响应,N/A,"P0-004,P0-005",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p004-supplier-isolation.contract.test.mjs,CODEX,M1-P004实现服务端会话绑定的本人资料读取；生产职能会话解析器仍默认401；账号业务仍归M1-P005/P069/P070
API-009,M1,supplier,PATCH,/v1/supplier/me,SUPPLIER_ACCOUNT_ADMIN,SupplierProfilePatchRequestDto,SupplierProfileResponseDto,SupplierProfileResponseDto；错误={statusCode|code|message|details?|requestId},AUTHENTICATION_REQUIRED|ACCESS_DENIED|SUPPLIER_SCOPE_FORBIDDEN|FIELD_FORBIDDEN|STATE_TRANSITION_INVALID|VERSION_CONFLICT|RESOURCE_NOT_FOUND|VALIDATION_FAILED|IDEMPOTENCY_CONFLICT|SECOND_VERIFICATION_REQUIRED,Idempotency-Key,NEVER_RETURN；supplierId仅取服务端会话；DTO白名单；不返回供应价或完整内部资质,N/A,"P0-003,P0-005",GENERATED,IMPLEMENTED,IMPLEMENTED,apps/api/test/supertest/supplier-onboarding-api.test.mjs；tests/contracts/m1-p003-supplier-onboarding.contract.test.mjs；tests/contracts/m1-p004-supplier-isolation.contract.test.mjs,CODEX,M1-P047将运行时结算账户变更的428二次验证要求补入确定性OpenAPI；仅DRAFT或CORRECTION_REQUIRED可按乐观版本补正；生产会话解析器默认拒绝
