MigrationID,Stage,PlannedName,DependsOn,Objects,Purpose,ForwardSteps,BackwardOrRecovery,DataBackfill,Verification,BackupRequired,Status,AppliedLocalAt,AppliedStagingAt,AppliedProductionAt,CommitSHA,EvidenceLink,Notes
MIG-001,M0,0001_engineering_baseline,NONE,Prisma迁移元数据、时区/字符集/金额约定,无业务表,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,无,空库创建+重复dry-run；prisma validate；空库/升级路径dry-run；关键不变量SQL,BEFORE_STAGING_OR_PRODUCTION,APPLIED_LOCAL,2026-08-04T03:38:36-04:00,,,9d7d763e41dc8ffba0166d2b9162c162542ccc7d,artifacts/verification/M1-P001/prisma-migration-rehearsal.json,M1-P001新增不可回改的20260804065500_engineering_baseline并在临时产品库全链部署、漂移检查和幂等重放通过；实现head完整门禁17/17；预发布与生产仍未执行
MIG-002,M1,0101_company_auth_accounts,MIG-001,Company/CompanyUser/FunctionalAccountType/FunctionalAccount/AuthSession/SupplierAuthSelection,账号与会话,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,无,账号状态与workspaceRoute约束；选择nonce仅存SHA-256；prisma validate；空库/升级路径dry-run；关键不变量SQL,BEFORE_STAGING_OR_PRODUCTION,APPLIED_LOCAL,2026-08-07T00:27:02-04:00,,,59ce2ddb1f34f1894762298f9ae7af3bba1cc465,artifacts/verification/M1-P069/prisma-migration-rehearsal.json,M1-P069新增第9条前向迁移SupplierAuthSelection及外键/哈希格式约束；临时产品库空库部署、升级、备份恢复、幂等重放、无漂移与cleanup PASS；供应商登录选择和审计行SQL探针通过；预发布和生产未执行
MIG-003,M1,0102_permissions_data_scope,MIG-002,Permission/FunctionalAccountPermission/DataScopePolicy/FieldAccessPolicy,权限策略,由阶段切片生成Prisma migration；事务/分批策略按数据量确定,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,无,默认拒绝与supplierId域；prisma validate；空库/升级路径dry-run；关键不变量SQL,BEFORE_STAGING_OR_PRODUCTION,APPLIED_LOCAL,2026-08-05T23:29:15-04:00,,,1825d38a4fc81c00e1a71b89fb9f2f8e15df828a,artifacts/verification/M1-P046/prisma-migration-rehearsal.json,真实MySQL产品迁移6条；四表四外键和两个supplier scope触发器；默认HIDDEN；重复字段策略与跨供应商scope拒绝；drift NONE；cleanup PASS；预发布与生产未执行
MIG-004,M1,0103_supplier_onboarding_and_sensitive_approval,MIG-003,Supplier/SupplierUser/ApprovalTask/ApprovalTaskHistory/ApprovalTaskCommand/LoginAudit/AuditLog,供应商准入与敏感审批审计,只追加前向迁移；审批状态、历史、幂等命令与审计事件同事务；supplierId由会话派生,已发布迁移不回改；应用回退保持新增列可空；数据库回滚只允许备份恢复或后续前向修复,无,主体唯一；ApprovalTask按identityType+identityId隔离；历史不可更新删除；审计supplierId查询前过滤；空库/升级/恢复/product链,BEFORE_STAGING_OR_PRODUCTION,APPLIED_LOCAL,2026-08-07T22:54:44-04:00,,,4aac6c0222d74a97a550bab5bd9b2336ef1214ce,artifacts/verification/M1-P072/prisma-migration-rehearsal.json,20260808013000新增审批历史/幂等命令、审计归属列和九个独立权限码；真实MySQL product=11、历史UPDATE/DELETE拒绝、cleanup PASS；staging/production未执行
MIG-005,M2,20260810062000_m2_category_tree+20260810094000_m2_category_templates+20260810110000_m2_food_template_profile+20260810213000_m2_fresh_template_profile+20260810230500_m2_apparel_template_profile+20260811060000_m2_digital_template_profile+20260811090000_m2_gift_box_template_profile+20260811110000_m2_regulated_category_controls,MIG-007,Category/CategoryHistory/CategoryCommand/CategoryTemplate/CategoryTemplateHistory/CategoryTemplateCommand/RegulatedCategoryControl/RegulatedCategoryControlHistory/RegulatedCategoryControlCommand/SupplierProduct.qualificationValidUntil/Product.qualificationValidUntil,三级分类树、模板版本、五类详情模板与强监管默认拒绝,在既有分类/模板前向迁移组上增加HIGH_RISK不可变模式、公司显式控制、追加历史、幂等命令和商品资质有效期；公开目录无控制或过期即默认拒绝,已发布迁移不回改；应用回退时先停用强监管控制；共享环境保留历史并以新前向迁移修复,既有模板自动回填GENERIC且regulatoryMode默认STANDARD；无正式强监管数据回填；正式资质由授权运营/合规录入,模板不可变；强监管默认关闭、有效期、历史/命令唯一键；prisma validate；空库/升级/恢复dry-run；真实MySQL关键不变量探针,BEFORE_STAGING_OR_PRODUCTION,LOCAL_PASS,2026-08-11T10:58:20Z,,,,packages/db/prisma/migrations/20260811110000_m2_regulated_category_controls/migration.sql|tests/migrations/m2-p018-regulated-category-migration.contract.test.mjs|artifacts/verification/M2-P018/regulated-category-default-deny.json|artifacts/test-results/verification/pnpm-verify.json,八个前向迁移组成分类/模板/强监管逻辑迁移组；P017最终head和合并后main CI通过；P018迁移契约与MySQL演练empty=2/upgrade2/restore2/product21/cleanupPASS；完整verify和PR CI待执行；staging/production未应用。
MIG-006,M2,20260809074000_m2_product_two_layer_model,MIG-004,SupplierProduct/SupplierProductSku,供应商商品草稿,新增上游商品与SKU、审批枚举、幂等命令和不可变状态历史,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,新阶段无历史商品数据；无需回填,商品页面价格字段物理/DTO隔离；prisma validate；空库/升级/恢复dry-run,BEFORE_STAGING_OR_PRODUCTION,LOCAL_PASS,2026-08-09T04:02:00-04:00,,,575109830ad9b23407a22ea417a9180b0dc14000,packages/db/prisma/migrations/20260809074000_m2_product_two_layer_model/migration.sql,与MIG-007在同一原子迁移内创建；本地迁移演练empty=2/upgrade=2/restore=2/product=12/cleanup=PASS；staging/production未应用。
MIG-007,M2,20260809074000_m2_product_two_layer_model+20260809100000_m2_company_product_approval,MIG-006,Product/Sku,公司可售商品,既有Product/Sku唯一映射；追加PRODUCT_INITIAL_PRICE审批类型和COMPANY_PRICE_REVIEW职能枚举，不回改已发布迁移,已发布迁移不回改；失败前恢复备份或创建向前修复迁移；应用版本可回退时保持schema兼容窗口,新阶段无历史可售商品数据；无需回填,双审前不物化；唯一键防并发重复；prisma validate；空库/升级/恢复dry-run,BEFORE_STAGING_OR_PRODUCTION,LOCAL_PASS,2026-08-09T07:05:28-04:00,,,b4fb026383ecfab86bccf47965377a827d2cd149,packages/db/prisma/migrations/20260809100000_m2_company_product_approval/migration.sql|artifacts/verification/M2-P007/company-product-approvals.json,M2-P008复用M2-P007已发布ApprovalTask schema，无新增迁移；pnpm verify内迁移完整性13/13及dry-run empty=2/upgrade=2/restore=2/product=13/cleanup=PASS。
MIG-008,M2,20260812013000_m2_tiered_price_changes,MIG-007,SupplyPriceChangeRequest/SupplyPriceChangeHistory/PriceChangeLog/PriceEffectOutbox/PriceChangeCommand,价格治理,供应价申请与审核状态按version推进；销售价免审；立即生效原子更新SKU版本并追加PriceChangeLog；预约生效写持久化outbox并由BullMQ恢复调度,已发布迁移不回改；应用回退停止新调价和worker；共享环境保留申请/历史/日志/outbox/命令并以新前向迁移修复,新阶段无正式上架商品调价数据；无需回填,三类价格历史不可覆盖；申请状态合法推进；命令/业务键唯一；prisma validate；空库/升级/恢复dry-run；MySQL drift和cleanup,BEFORE_STAGING_OR_PRODUCTION,LOCAL_PASS,2026-08-12T01:56:00Z,,,739b0b0d786406536a67762f01e599bbcdaded9f,packages/db/prisma/migrations/20260812013000_m2_tiered_price_changes/migration.sql|tests/migrations/m2-p019-tiered-price-change-migration.contract.test.mjs,真实MySQL演练empty=2/upgrade=2/restore=2/product=22/cleanup=PASS；首轮发现5个外键名drift后按Prisma确定性命名修复；staging/production未应用。
MIG-008A,M2,20260812080000_m2_shared_catalog_enterprise_flag,MIG-008,ProductChannelVisibilityHistory,商品资源与集采标识,创建不可变渠道可见性历史；上架生成INITIAL；ACTIVE商品变更同事务更新唯一SupplierProduct/Product并追加CHANGE,已发布迁移不回改；应用回退停止渠道变更；共享环境保留历史并以前向迁移修复,既有上架商品由上线前受控脚本补INITIAL；当前本地测试数据无需回填,productId+toVersion唯一；UPDATE/DELETE触发器拒绝；prisma validate；空库/升级/恢复dry-run,BEFORE_STAGING_OR_PRODUCTION,LOCAL_PASS,2026-08-12T08:00:00Z,,,,packages/db/prisma/migrations/20260812080000_m2_shared_catalog_enterprise_flag/migration.sql|tests/migrations/m2-p061-shared-catalog-enterprise-flag-migration.contract.test.mjs,真实MySQL演练empty=2/upgrade=2/restore=2/product=23/cleanup=PASS；未应用staging或production
MIG-009,M2,20260812100000_m2_shared_inventory_balance,MIG-008A,InventoryBalance/InventoryChangeLog/InventoryCommand,库存真源,创建每SKU唯一余额、非负/算术约束、幂等命令和不可变流水触发器；既有SKU从supplier_product_sku.initial_stock一次回填,已发布迁移不回改；应用代码可回退但表与历史保留；发现缺陷时创建向前修复迁移,LEFT JOIN inventory_balance仅为尚无余额的既有SKU插入一次；空库/升级/恢复均演练,skuId唯一、非负、算术、版本、幂等、不可变触发器；prisma validate；empty/upgrade/restore各2路径,BEFORE_STAGING_OR_PRODUCTION,APPLIED_LOCAL,2026-08-12T10:17:00Z,,,155a83d7bdf266353e56aa875626a3f106365dab,tests/migrations/m2-p063-shared-inventory-migration.contract.test.mjs|artifacts/verification/M2-P063/shared-inventory-balance.json,LOCAL MySQL 8.4.11演练通过；staging/production未执行
