DependencyID,EarliestStage,Category,RequiredInputOrDecision,Owner,CurrentStatus,EvidenceRequired,SafetyBoundary,BlockingTask,BlocksFormalAcceptance,EvidenceLink,ProvidedAt,ApprovedBy,Notes
EXT-001,M0,GitHub,确认目标owner/repo或仓库URL、默认分支,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,不得猜测远程；不得把Token粘贴聊天,M0-003,NO,,,,
EXT-002,M0,GitHub,确认Codex/开发人员的最小仓库权限,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,只授权分支、Draft PR和只读CI；合并仍人工,M0-003,NO,,,,
EXT-003,M0,GitHub,配置Actions Secrets与Environment审批,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,仅在GitHub UI/密钥管理器输入，不写仓库,M0-011,YES,,,,
EXT-004,M0,基础设施,确认开发/预发布/生产域名、服务器、数据库和对象存储责任人,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,M0只使用本地替代；生产资料不进聊天,M0-005,NO,,,,
EXT-005,M1,公司资料,江苏福礼团供应链科技有限公司营业执照、对客名称、客服和开票资料由授权人员确认,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,敏感资料进入受控存储；执行包仅登记状态,M1-P001,YES,,,,
EXT-006,M1,供应商规则,供应商准入资质清单、补正/停用/退出审批责任人,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,未确认前用可配置规则，不伪造合规结论,M1-P003,NO,,,,
EXT-007,M2,分类业务,确认首批分类树、每类模板字段、资质和售后规则,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,强监管品类默认关闭,M2-P012,NO,,,,
EXT-008,M2,价格治理,确认供应价审核阈值、风险提示和计划生效规则,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,不改变锁定边界：供应价必审，零售/集采售价免审留痕,M2-P019,NO,,,,
EXT-009,M3,微信小程序,公司主体下用户小程序AppID及开发者权限,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,AppSecret不发聊天；由环境变量/密钥管理注入,M3-P085,YES,,,,
EXT-010,M3,微信支付,微信支付商户号、应用绑定、API v3密钥、证书、通知域名,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,密钥与证书不提交；M3先完成Adapter和契约桩,M3-P024,YES,,,,
EXT-011,M3,微信支付,授权人员执行1分钱/沙箱或批准金额的真实支付退款验证,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,Codex不得自行发起真实资金动作,M3-P026,YES,,,,
EXT-012,M3,福利卡合规,确认发行主体、资金属性、适用范围、有效期、退款和会计/税务处理,UNASSIGNED_HUMAN,NOT_PROVIDED,LEGAL_AND_FINANCE_REVIEW,技术实现不等于合法合规结论,M3-P051,YES,,,,
EXT-013,M3,企业采购,确认企业认证资料、合同/协议、对公转账审核和发票流程,UNASSIGNED_HUMAN,NOT_PROVIDED,LEGAL_AND_FINANCE_REVIEW,企业不使用个人福利卡；不改变公司统一对客结账,M3-P028,YES,,,,
EXT-014,M3,短信,如启用短信，确认供应商、模板、签名及最小权限凭据,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,未提供时使用可替换Adapter并标BLOCKED_EXTERNAL,M3-P077,NO,,,,
EXT-015,M3,隐私与协议,确认隐私政策、用户协议、企业协议、福利卡规则版本,UNASSIGNED_HUMAN,NOT_PROVIDED,LEGAL_REVIEW,未经法务确认不得标记正式发布,M3-P082,YES,,,,
EXT-016,M4,跑腿小程序,跑腿小程序AppID、开发者权限和隐私接口声明,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,与用户小程序独立应用、独立会话,M4-P101,YES,,,,
EXT-017,M4,地图导航,确认微信openLocation可用范围、坐标来源和用户授权文案,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,P0只调用跑腿员本人手机导航；不建设路径计费,M4-P108,YES,,,,
EXT-018,M4,跑腿规则,跑腿准入、服务区、最大并发、报酬线下支付和异常责任规则,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,不建设跑腿钱包/自动打款,M4-P100,NO,,,,
EXT-019,M4,企业配送,确认公司车辆/司机/承运商资料字段、凭证和签收规则,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,企业配送绝不进入跑腿大厅,M4-P118,NO,,,,
EXT-020,M5,银行与线下结算,确认付款授权人、银行流水编号规则和凭证保留期,UNASSIGNED_HUMAN,NOT_PROVIDED,FINANCE_APPROVAL,系统只登记线下结果，不自动打款,M5-P042,YES,,,,
EXT-021,M5,发票税务,确认供应商发票和企业开票状态、税务字段和保留规则,UNASSIGNED_HUMAN,NOT_PROVIDED,LEGAL_AND_FINANCE_REVIEW,发票状态不得回写订单履约,M5-P042,YES,,,,
EXT-022,M5,门户内容,提供经批准的公司介绍、案例、新闻、联系方式和素材权利证明,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,无权利证明素材不得正式发布,M5-P082,YES,,,,
EXT-023,M5,ICP备案/公安备案,确认域名备案和公开展示信息,UNASSIGNED_HUMAN,NOT_PROVIDED,LEGAL_REVIEW,执行包不推断备案完成,M5-P082,YES,,,,
EXT-024,M6,容量目标,批准SLO、并发量、订单峰值、RTO/RPO与压测窗口,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,未批准时只报告测得值，不声称达标,M6-901,YES,,,,
EXT-025,M6,真机验收,提供iOS/Android微信真机、测试账号和授权验收人,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,模拟器/截图不能替代DEVICE_PASS,M6-903,YES,,,,
EXT-026,M6,预发布,提供隔离的预发布环境、测试商户/证书和脱敏数据,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_REQUIRED,本地通过不能替代STAGING_PASS,M6-902,YES,,,,
EXT-027,M6,生产发布,批准发布窗口、值班人、备份、回滚和生产变更单,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_APPROVAL,未明确批准不得部署或迁移生产,M6-904,YES,,,,
EXT-028,M6,Go/No-Go,业务、技术、财务、法务、运营共同签署最终决定,UNASSIGNED_HUMAN,NOT_PROVIDED,HUMAN_APPROVAL,所有技术门禁通过也不自动等于Go,M6-GATE,YES,,,,
