Entity,Field,RawDefinition,Position,SuggestedType,Required,UnitOrFormat,Sensitivity,Visibility,ForbiddenExposure,Validation,HistoryRule,Stage,P0,Source,Status
Company,id,id,1,UUID,YES,UUID v4 canonical lowercase text,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,exactly one Company row may exist; id is server-generated,按实体version或审计日志保留变更证据,M1,"P0-001,P0-002",综合方案§13核心数据模型,FROZEN_M1_000
Company,legalName,legalName,2,String,YES,fixed value: 江苏福礼团供应链科技有限公司,PUBLIC,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,must equal the frozen legal entity name,按实体version或审计日志保留变更证据,M1,"P0-001,P0-002",综合方案§13核心数据模型,FROZEN_M1_000
Company,platformName,platformName,3,String,YES,fixed value: 福礼社,PUBLIC,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,must equal 福礼社,按实体version或审计日志保留变更证据,M1,"P0-001,P0-002",综合方案§13核心数据模型,FROZEN_M1_000
Company,wechatPayConfigRef,wechatPayConfigRef,4,String,YES,secret-manager reference id; 1..255 chars; never a credential value,SECRET_OR_CREDENTIAL,仅后端最小权限读取，响应永不返回,禁止提交、日志、快照和前端下发,reference existence is checked server-side; secret value never persists here,按实体version或审计日志保留变更证据,M1,"P0-001,P0-002",综合方案§13核心数据模型,FROZEN_M1_000
Company,status,status,5,Enum<ACTIVE|SUSPENDED>,YES,ACTIVE|SUSPENDED,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,"server validates type, ownership, state and length; client-derived ownership and authorization are never trusted",按实体version或审计日志保留变更证据,M1,"P0-001,P0-002",综合方案§13核心数据模型,FROZEN_M1_000
PortalContent,id,id,1,String/UUID,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,contentType,contentType,2,Enum/String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,slug,slug,3,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,title,title,4,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,summary,summary,5,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,coverAssetId,coverAssetId?,6,String/UUID,NO,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,bodyModules,bodyModules,7,Json,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,seoTitle,seoTitle,8,String,YES,待M阶段冻结,INTERNAL,按资源权限与数据域访问；公开DTO另行白名单,数据库实体不得直接序列化为响应,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
PortalContent,seoDescription,seoDescription,9,String,YES,待M阶段冻结,PERSONAL_OR_SENSITIVE,按角色、对象归属及配送阶段脱敏/解密,禁止跨供应商、越阶段或批量无审批导出,DTO白名单；长度/枚举/归属/状态校验；禁止信任客户端派生值,按实体version或审计日志保留变更证据,M5,"P0-027,P0-073,P0-075,P0-076,P0-082",综合方案§13核心数据模型,DRAFT_FROM_SCHEME
