PageID,Platform,PageName,Route,SourceAsset,Stage,Actor,P0,AuthPolicy,SupplyPricePolicy,APIGroup,RequiredUIStates,ResponsiveOrDevice,ImplementationStatus,AcceptanceStatus,RouteTest,Notes
PAGE-001,COMPANY_ADMIN,公司后台登录,/company-admin/login,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/01-公司后台登录.png,M1,公司职能账号,P0-066,PUBLIC_NOINDEX_NO_STORE,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-066-company-auth.spec.ts,登录入口禁止公共缓存和索引；认证前不得签发functionalAccountId会话；参考资产正文实际为供应商入驻且与PAGE-001合同不一致，实现以V1.1综合方案为准
PAGE-002,COMPANY_ADMIN,职能账号选择,/company-admin/account-select,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/02-职能账号选择.png,M1,公司职能账号,P0-066,AUTHENTICATED_IDENTITY_PENDING_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,LOCAL_PASS,tests/e2e/p0/p0-066-company-auth.spec.ts,只列出已认证自然人有权使用的服务端账号；缺少待选择上下文时失败关闭；选中前不建立业务职能会话；private/no-store且noindex
PAGE-003,COMPANY_ADMIN,超级管理员,/company-admin/workspaces/system,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/03-超级管理员.png,M1,公司职能账号,"P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",M1-P068已实现当前超级管理员会话绑定的账号与系统模块目录、筛选、详情和交付时间线；后续真实系统配置业务仍按阶段进入
PAGE-004,COMPANY_ADMIN,供应商运营,/company-admin/workspaces/supplier-ops,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/04-供应商运营.png,M1,公司职能账号,"P0-003,P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-003_LOCAL_PASS;P0-067_CI_PASS;P0-068_CI_PASS,"tests/e2e/p0/p0-003-supplier-onboarding.spec.ts;tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",M1-P003真实供应商准入页与P068当前供应商运营模块目录并存；共用组件不共享跨职能查询或详情状态
PAGE-005,COMPANY_ADMIN,商品与分类运营,/company-admin/workspaces/product-ops,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/05-商品与分类运营.png,M2,公司职能账号,"P0-007,P0-011,P0-012,P0-013,P0-014,P0-015,P0-016,P0-017,P0-018,P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；启停增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-007_CI_PASS;P0-011_CI_PASS;P0-012_CI_PASS;P0-013_CI_PASS;P0-014_CI_PASS;P0-015_CI_PASS;P0-016_CI_PASS;P0-017_CI_PASS;P0-018_LOCAL_PASS;P0-067_CI_PASS;P0-068_CI_PASS,tests/e2e/p0/p0-007-company-product-approvals.spec.ts|tests/e2e/p0/p0-011-category-tree.spec.ts|tests/e2e/p0/p0-012-category-template.spec.ts|tests/e2e/p0/p0-013-food-detail.spec.ts|tests/e2e/p0/p0-014-fresh-detail.spec.ts|tests/e2e/p0/p0-015-apparel-detail.spec.ts|tests/e2e/p0/p0-016-digital-detail.spec.ts|tests/e2e/p0/p0-017-gift-box-detail.spec.ts|tests/e2e/p0/p0-018-regulated-category.spec.ts|tests/e2e/p0/p0-067-company-workspaces.spec.ts|tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts,商品资料审核、分类树、版本化模板和PAGE-M2-018强监管开关位于固定商品运营职能页的独立区块；P017已合并main且CI通过；P018加载/空态/权限/离线/未知结果和二次验证已有本地行为证据；供应价与资质对象引用NEVER_RETURN，EXT-007正式数据未执行。
PAGE-006,COMPANY_ADMIN,价格审核,/company-admin/workspaces/price-review,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/06-价格审核.png,M2,公司职能账号,"P0-007,P0-019,P0-067,P0-068,P0-071",REQUIRED_FIXED_FUNCTIONAL_SESSION,AUTHORIZED_COMPANY_ONLY,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-007_CI_PASS;P0-067_CI_PASS;P0-068_CI_PASS;P0-019_LOCAL_PASS;P0-071_NOT_EXECUTED,tests/e2e/p0/p0-007-company-product-approvals.spec.ts|tests/e2e/p0/p0-019-tiered-price-change.spec.ts|tests/e2e/p0/p0-067-company-workspaces.spec.ts|tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts,独立初始三价审核及上架后供应价变更队列均已实现；后者显示旧价/申请价/涨跌比例/生效时间，强制异人审核与二次验证；销售价不进入审核；P019本地E2E通过，CI待执行。
PAGE-007,COMPANY_ADMIN,订单客服,/company-admin/workspaces/order-service,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/07-订单客服.png,M3,公司职能账号,"P0-038,P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS;P0-038_NOT_EXECUTED,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",P068仅交付当前订单客服职能目录与完整页面状态；M3订单和M5售后业务明确DEFERRED
PAGE-008,COMPANY_ADMIN,福利卡运营,/company-admin/workspaces/welfare-card,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/08-福利卡运营.png,M3,公司职能账号,"P0-051,P0-059,P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS;P0-051_P0-059_NOT_EXECUTED,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",P068仅交付当前福利卡职能目录与完整页面状态；M3福利卡计划、批次和账本业务明确DEFERRED
PAGE-009,COMPANY_ADMIN,财务结算,/company-admin/workspaces/finance,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/09-财务结算.png,M5,公司职能账号,"P0-040,P0-042,P0-060,P0-065,P0-067,P0-068",REQUIRED_FIXED_FUNCTIONAL_SESSION,AUTHORIZED_COMPANY_ONLY,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS;P0-040_P0-042_P0-060_P0-065_NOT_EXECUTED,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",P068仅交付当前财务职能目录与完整页面状态且不返回供应商结算敏感字段；M5业务明确DEFERRED
PAGE-010,COMPANY_ADMIN,物流中心,/company-admin/workspaces/logistics,福礼社UI设计资产/蓝绿供应链暖红福利统一版/公司Admin后台/10-物流中心.png,M4,公司职能账号,"P0-067,P0-068,P0-116,P0-118",REQUIRED_FIXED_FUNCTIONAL_SESSION,NEVER_RETURN,company-admin,"loading,empty,error,permission-denied,offline-or-timeout,success；交易页增加duplicate/unknown-result",PC admin,IMPLEMENTED,P0-067_CI_PASS;P0-068_CI_PASS;P0-116_P0-118_NOT_EXECUTED,"tests/e2e/p0/p0-067-company-workspaces.spec.ts;tests/e2e/p0/p0-068-company-workspace-completeness.spec.ts",P068仅交付当前物流职能目录与完整页面状态；M4个人与企业配送业务明确DEFERRED且未进入大厅
