StateMachine,Stage,CurrentState,Event,NextState,AllowedActor,Guard,SideEffect,Idempotency,IllegalTransition,ConcurrencyControl,History,P0,Status
Supplier,M1,DRAFT,SUBMIT,PENDING_REVIEW,SUPPLIER_ACCOUNT_ADMIN,资料完整且主体唯一,生成审批任务,supplierId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044",FROZEN_M1_000
Supplier,M1,PENDING_REVIEW,REQUEST_CORRECTION,CORRECTION_REQUIRED,COMPANY_SUPPLIER_OPS,审核意见非空,通知供应商,approvalTaskId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044",FROZEN_M1_000
Supplier,M1,CORRECTION_REQUIRED,RESUBMIT,PENDING_REVIEW,SUPPLIER_ACCOUNT_ADMIN,已修正且版本匹配,生成新审核版本,supplierId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044",FROZEN_M1_000
Supplier,M1,PENDING_REVIEW,APPROVE,ACTIVE,COMPANY_SUPPLIER_OPS,资质及合规检查通过,同事务激活主联系人SupplierUser及唯一SUPPLIER_ACCOUNT_ADMIN账号,approvalTaskId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044,P0-069",FROZEN_M1_P069
Supplier,M1,ACTIVE,SUSPEND,SUSPENDED,COMPANY_SUPPLIER_OPS,理由与影响评估存在,阻止新提交并使本供应商旧职能会话立即失效,supplierId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044,P0-069",FROZEN_M1_P069
Supplier,M1,ACTIVE,START_EXIT,EXITING,COMPANY_SUPPLIER_OPS,未结事项生成清单,冻结新品与新订单分配,supplierId+exitRequestId,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044",FROZEN_M1_000
Supplier,M1,EXITING,COMPLETE_EXIT,EXITED,COMPANY_SUPPLIER_OPS,订单/售后/对账/资料保留均完成,撤销账号并保留审计,supplierId+exitChecklistVersion,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-003,P0-044",FROZEN_M1_000
FunctionalAccount,M1,PENDING_ACTIVATION,ACTIVATE,ACTIVE,OWNER_ACCOUNT_ADMIN,二次验证通过且账号类型有效；供应商首次主体管理员由审核激活,撤销旧激活令牌并审计,accountId+tokenHash,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-005,P0-067,P0-069,P0-070,P0-072",FROZEN_M1_P069
FunctionalAccount,M1,ACTIVE,SUSPEND,SUSPENDED,OWNER_ACCOUNT_ADMIN,操作者不能停用最后一个主体管理员,撤销全部会话,accountId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-005,P0-067,P0-070,P0-072",FROZEN_M1_000
FunctionalAccount,M1,SUSPENDED,RESTORE,ACTIVE,OWNER_ACCOUNT_ADMIN,风险解除且二次验证通过,重新允许登录,accountId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-005,P0-067,P0-070,P0-072",FROZEN_M1_000
FunctionalAccount,M1,ACTIVE,REVOKE,REVOKED,OWNER_ACCOUNT_ADMIN,高风险确认,不可恢复地撤销会话和授权,accountId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-005,P0-067,P0-070,P0-072",FROZEN_M1_000
EnterpriseCustomer,M3,DRAFT,SUBMIT_CERTIFICATION,PENDING_REVIEW,ENTERPRISE_ADMIN,统一信用代码及联系人资料完整,生成企业认证审批,enterpriseId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-028,P0-077",IMPLEMENTED_M3_P028
EnterpriseCustomer,M3,PENDING_REVIEW,REQUEST_CORRECTION,CORRECTION_REQUIRED,COMPANY_SUPPLIER_OPS,补正项明确,通知企业,approvalTaskId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-028,P0-077",IMPLEMENTED_M3_P028
EnterpriseCustomer,M3,CORRECTION_REQUIRED,RESUBMIT,PENDING_REVIEW,ENTERPRISE_ADMIN,资料版本更新,生成新审核版本,enterpriseId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-028,P0-077",IMPLEMENTED_M3_P028
EnterpriseCustomer,M3,PENDING_REVIEW,APPROVE,ACTIVE,COMPANY_SUPPLIER_OPS,认证通过,开放采购货架,approvalTaskId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-028,P0-077",IMPLEMENTED_M3_P028
EnterpriseCustomer,M3,ACTIVE,SUSPEND,SUSPENDED,COMPANY_SUPPLIER_OPS,合规或协议原因,禁止新订单；历史可读,enterpriseId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,"P0-028,P0-077",IMPLEMENTED_M3_P028
RunnerApplication,M4,DRAFT,SUBMIT,PENDING_REVIEW,RUNNER_APPLICANT,手机号验证且资料完整,生成审批任务,applicant+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,P0-100,DRAFT_TO_FREEZE_IN_STAGE
RunnerApplication,M4,PENDING_REVIEW,REQUEST_CORRECTION,CORRECTION_REQUIRED,COMPANY_LOGISTICS,意见非空,通知申请人,applicationId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,P0-100,DRAFT_TO_FREEZE_IN_STAGE
RunnerApplication,M4,CORRECTION_REQUIRED,RESUBMIT,PENDING_REVIEW,RUNNER_APPLICANT,已修正,新审核版本,applicationId+version,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,P0-100,DRAFT_TO_FREEZE_IN_STAGE
RunnerApplication,M4,PENDING_REVIEW,APPROVE,APPROVED,COMPANY_LOGISTICS,服务区与资质通过,创建Runner=OFFLINE,applicationId+decision,返回409 STATE_TRANSITION_INVALID；不改变状态；写安全审计（按风险级别）,version乐观锁/唯一键/事务；受影响行数必须=1,追加状态日志或不可变快照，禁止覆盖历史,P0-100,DRAFT_TO_FREEZE_IN_STAGE
