P0ID,No,Stage,Scene,Acceptance,SourceSection,PrimaryTaskID,RequiredEvidenceLevel,CurrentEvidenceStatus,AutomatedTestID,ManualCaseID,NegativeChecks,EvidenceLink,LastVerifiedCommit,Verifier,VerifiedAt,Notes
P0-001,1,M1,单商户主体,前台销售主体、订单收款主体、退款主体均为江苏福礼团供应链科技有限公司。,§3角色权限、§4供应商后台、§14安全审计,M1-P001,CI_PASS,CI_PASS,NEG-M1-001-01|NEG-M1-001-02|NEG-M1-001-03,N/A,SELLER_TAMPER；SUPPLIER_DIRECT_PAYMENT；MULTI_MERCHANT_CONFIG,artifacts/verification/M1-P001/single-merchant.json,7eb91066846204a18afa20c4c8b4c7b94676dca0,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-05T03:56:26Z,PR #8精确head CI与合并后main CI均通过；预发布、生产和EXT-005公司材料仍未执行或未提供
P0-002,2,M1,无加盟商,系统无加盟商注册、区域分账、加盟合同和加盟商后台入口。,§3角色权限、§4供应商后台、§14安全审计,M1-P002,CI_PASS,CI_PASS,NEG-M1-002-01|NEG-M1-002-02|NEG-M1-002-03,N/A,FRANCHISEE_ROUTE；REGIONAL_REVENUE_SHARE；FRANCHISEE_ENTITY,artifacts/verification/M1-P002/no-franchise-capabilities.json,fb3c7a5e311d4472778eb63f9ef7351182ddc010,GITHUB_ACTIONS+CODEX_SELF_REVIEW,2026-08-05T07:51:26Z,PR #9精确head CI与合并后main CI均通过；预发布、生产和正式验收未执行；本任务无真机要求
P0-003,3,M1,供应商注册,供应商可注册、补资料、提交审核，并看到草稿、待审、补正、启用等状态。,§3角色权限、§4供应商后台、§14安全审计,M1-P003,CI_PASS,CI_PASS,NEG-M1-003-01|NEG-M1-003-02|NEG-M1-003-03|NEG-M1-003-04,N/A,DUPLICATE_SUBJECT；INVALID_TRANSITION；IDEMPOTENCY；QUALIFICATION_INCOMPLETE,artifacts/verification/M1-P003/supplier-onboarding.json,d7067a59f1bc66680121d9e2b38e04cb3083dee2,CODEX,2026-08-05T06:28:46-04:00,PR #10精确head与合并后main CI均成功；本地证据继续有效；预发布/生产/正式验收未执行；EXT-006未提供
P0-004,4,M1,供应商隔离,供应商不能访问其他供应商的商品、订单、库存、对账和账号。,§3角色权限、§4供应商后台、§14安全审计,M1-P004,CI_PASS,CI_PASS,NEG-M1-004-01|NEG-M1-004-02|NEG-M1-004-03|NEG-M1-004-04,N/A,OBJECT_SCOPE；SERVER_BOUND_SUPPLIER；CROSS_SUPPLIER_EXPORT；NOT_FOUND_ORACLE,artifacts/verification/M1-P004/supplier-isolation.json,e8fe7c6bd80ff9a7622aea627b0d9b82eb530e3f,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #12精确head e8fe7c6的CI run 31002208379及合并后main run 31002976288成功；M1-GATE候选main 4ff0258重跑供应商数据域与白名单回归；预发布、生产和正式验收未执行。
P0-005,5,M1,供应商职能账号,主体、商品、价格、库存、履约、售后、财务和审计分别使用独立职能账号与固定页面，敏感账户变更需二次验证。,§3角色权限、§4供应商后台、§14安全审计,M1-P005,CI_PASS,CI_PASS,NEG-M1-005-01|NEG-M1-005-02|NEG-M1-005-03|NEG-M1-005-04,N/A,CROSS_WORKSPACE；SELF_PRIVILEGE_ESCALATION；LAST_ADMIN_SUSPEND；SECOND_VERIFICATION,artifacts/verification/M1-P005/supplier-functional-accounts.json,2e9846b1872463805c29128414bdfb927b514ad9,GITHUB_ACTIONS+CODEX,2026-08-08T02:27:50-04:00,PR #14精确head 2e9846b的CI run 31007483633及合并后main run 31063510585成功；八类独立职能账号与固定页面在M1-GATE回归中通过；真实二次验证、预发布和生产未执行。
P0-006,6,M2,商品两层模型,供应商提交 SupplierProduct，公司审核后才产生/更新可售 Product/Sku。,§5分类模板、§6商品价格库存,M2-P006,CI_PASS,CI_PASS,NEG-M2-006-01|NEG-M2-006-02|NEG-M2-006-03,N/A,SUPPLIER_PRODUCT_NOT_SELLABLE；COMPANY_MAPPING_REQUIRED；DIRECT_ENTITY_SERIALIZATION,apps/api/test/supertest/supplier-products-api.test.mjs|tests/e2e/p0/p0-006-product-two-layer.spec.ts,ae7abc827f1759cd2dc00201ce23fab4710fe6ce,GITHUB_ACTIONS+CODEX,2026-08-09T05:52:28-04:00,本地pnpm verify通过；PR #38精确head CI及合并后main@ae7abc8 CI run 31306358667均成功。
P0-007,7,M2,公司双页面审核上架,公司商品职能页面完成商品资料审核、公司价格审核页面完成三类初始价格审核；两项均通过前商品无法出现在前台或加入购物车。,§5分类模板、§6商品价格库存,M2-P007,CI_PASS,CI_PASS,NEG-M2-007-01|NEG-M2-007-02|NEG-M2-007-03,N/A,DUAL_APPROVAL_GATE；ROLE_SPLIT；DUPLICATE_APPROVAL,apps/api/test/supertest/company-product-approvals-api.test.mjs|tests/e2e/p0/p0-007-company-product-approvals.spec.ts|artifacts/verification/M2-P007/company-product-approvals.json,96367acf9304dadee489e97ca7047deccedbb1a4,CODEX,2026-08-09T07:55:00-04:00,双职能双页面、双审物化和并发幂等证据通过；PR #40精确head CI及合并后main@15a10da CI run 31311672836均成功。
P0-008,8,M2,供应商独立价格页面,供应商商品页面不加载价格字段；价格职能页面自主设置供应价、平台零售价和集采销售价并提交初始价格审核，公司不得静默改价。,§5分类模板、§6商品价格库存,M2-P008,CI_PASS,CI_PASS,NEG-M2-008-01|NEG-M2-008-02|NEG-M2-008-03|NEG-M2-008-04|NEG-M2-008-05|NEG-M2-008-06|NEG-M2-008-07,N/A,PRODUCT_PAGE_PRICE_LEAK；COMPANY_SILENT_PRICE_CHANGE；CROSS_SUPPLIER_PRICE,apps/api/test/supertest/supplier-pricing-api.test.mjs|tests/e2e/p0/p0-008-supplier-pricing.spec.ts|docs/contracts/m2/M2-P008-supplier-pricing.md,23397b8eac5dff197d6ba7c9e4afc9f77e2287e3,,2026-08-09T21:16:25-04:00,PR #42精确head CI及合并后main@590a770 CI run 31346326144成功；多商品未知结果保护已进入main。
P0-009,9,M2,无供应商店铺,不存在供应商装修页、独立结算、店铺优惠券和供应商收款入口。,§5分类模板、§6商品价格库存,M2-P009,CI_PASS,CI_PASS,NEG-M2-009-01|NEG-M2-009-02|NEG-M2-009-03,N/A,SUPPLIER_STOREFRONT；SUPPLIER_DIRECT_PAYMENT；SUPPLIER_STORE_CART,apps/api/test/unit/no-supplier-storefront-policy.test.mjs|apps/api/test/supertest/single-merchant-api.test.mjs|tests/contracts/m2-p009-no-supplier-storefront.contract.test.mjs|tests/e2e/p0/p0-009-no-supplier-storefront.spec.ts|docs/contracts/m2/M2-P009-no-supplier-storefront.md|artifacts/verification/M2-P009/no-supplier-storefront.json,fbf8fe62ce7113007a7ff3240974e9df72b08ba0,CODEX,2026-08-09T23:34:35-04:00,三项负例先RED后GREEN；PR #44精确head CI run 31351519702通过并按授权合并，main@fb242c0的run 31352608893通过；staging与production未执行。
P0-010,10,M2,看他还卖什么,按 supplierId 筛选公司已上架商品，销售主体和统一货架不改变。,§5分类模板、§6商品价格库存,M2-P010,CI_PASS,CI_PASS,NEG-M2-010-01|NEG-M2-010-02|NEG-M2-010-03,N/A,SUPPLIER_FILTER_ESCAPE；INACTIVE_PRODUCT_EXPOSURE；STORE_SEMANTICS,apps/api/test/supertest/public-catalog-api.test.mjs|apps/api/test/unit/public-catalog-prisma-repository.test.mjs|apps/user-miniapp/test/supplier-products-build.test.mjs|tests/contracts/m2-p010-public-catalog.contract.test.mjs|tests/e2e/p0/p0-010-more-from-supplier.spec.ts|docs/contracts/m2/M2-P010-more-from-supplier.md|artifacts/verification/M2-P010/more-from-supplier.json,08745d1d1f2ecb41acbfc4d21104c13daa570146,CODEX,2026-08-10T01:52:00-04:00,PR #46精确head CI run 31358378754通过并按授权合并；main@d1c34e7的run 31359557525通过；P0-089、真机、staging与production未执行。
