OwnerType,RoleCode,RoleName,EntryRoute,ReadScope,WriteScope,ApprovalAuthority,SupplyPriceVisibility,DataScope,ForbiddenActions,SecondVerification,SessionBoundary,Stage,P0,Status
COMPANY,COMPANY_SUPER_ADMIN,超级管理员,/company-admin/workspaces/system,公司全局配置、账号、审计摘要,职能账号、权限策略和平台参数,账号启停与高风险配置，不代替业务审核或第二自然人复核,VISIBLE_WITH_AUDIT,companyId=唯一公司,不得绕过业务职能审批；不得查看明文秘密,账号/权限/导出/密钥引用；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M1,"P0-001,P0-045,P0-066,P0-067,P0-068,P0-072",LOCKED_BY_SCHEME
COMPANY,COMPANY_SUPPLIER_OPS,供应商运营,/company-admin/workspaces/supplier-ops,供应商主体、资质、状态,审核、补正、启停、退出流程,供应商主体审核,HIDDEN,唯一公司下全部供应商,不得改商品价格、付款或其他职能账号,启停/退出/敏感资质查看,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M1,"P0-003,P0-044,P0-067,P0-068",LOCKED_BY_SCHEME
COMPANY,COMPANY_PRODUCT_OPS,商品与分类运营,/company-admin/workspaces/product-ops,分类模板、商品资料、公开售价、强监管开关摘要,分类模板、商品资料审核、上下架、强监管启停,商品资料审核；强监管启停须二次验证,HIDDEN,唯一公司全商品,不得读取供应价或批准供应价；不得返回资质对象引用,强监管开关/批量上下架须二次验证；不替代要求不同identityId的maker-checker,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M2,"P0-006,P0-007,P0-011,P0-012,P0-018,P0-067,P0-068",IMPLEMENTED_P0_018
COMPANY,COMPANY_PRICE_REVIEW,采购/价格审核,/company-admin/workspaces/price-review,三类价格与价格历史,供应价审核意见；风险标记,初始三价与上架后供应价变更,VISIBLE_WITH_AUDIT,唯一公司全SKU,不得静默代供应商改价；不得改商品资料,批准/拒绝/批量导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M2,"P0-007,P0-019,P0-067,P0-068,P0-071",FROZEN_M2_000
COMPANY,COMPANY_ORDER_SERVICE,订单客服,/company-admin/workspaces/order-service,个人/企业订单、售后必要字段,售后受理、备注、责任协同,售后流程权限内节点,HIDDEN,唯一公司全订单；敏感字段按工单,不得登记付款、改供应价或越权解密,退款申请/地址敏感信息,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-025,P0-038,P0-067,P0-068",LOCKED_BY_SCHEME
COMPANY,COMPANY_WELFARE_CARD,福利卡运营,/company-admin/workspaces/welfare-card,计划、批次、账户脱敏、账本,计划/批次/冻结/解冻和企业购卡协同,福利卡高风险操作,HIDDEN,唯一公司福利卡域,不得改写账本或直接改余额,批量发卡/冻结/导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-051,P0-052,P0-059,P0-067,P0-068",LOCKED_BY_SCHEME
COMPANY,COMPANY_FINANCE,财务结算,/company-admin/workspaces/finance,支付退款、供应价快照、账单、凭证,对账调整、线下付款登记、冲正,结算与财务复核,VISIBLE_WITH_AUDIT,唯一公司全财务数据,不得覆盖已确认账单或自动向供应商打款,退款/付款/冲正/导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M5,"P0-040,P0-042,P0-043,P0-060,P0-065,P0-067,P0-068",LOCKED_BY_SCHEME
COMPANY,COMPANY_LOGISTICS,物流运营,/company-admin/workspaces/logistics,个人任务、企业配送、必要联系信息,发布/取消/转派个人任务；企业派车和节点,物流异常与转派,HIDDEN,唯一公司全部配送,不得把企业订单投放抢单大厅,取消/转派/联系信息解密,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M4,"P0-099,P0-110,P0-115,P0-116,P0-118",LOCKED_BY_SCHEME
COMPANY,COMPANY_CONTENT,门户内容编辑,/company-admin/workspaces/content,门户内容、版本、素材,草稿、预览、提交、发布权限内内容,发布需双人复核时提交审批,HIDDEN,门户内容域,不得接触交易、供应价和财务,发布/撤回/批量素材；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M5,"P0-073,P0-075,P0-076,P0-082",LOCKED_BY_SCHEME
COMPANY,COMPANY_AUDIT,审计/只读,/company-admin/workspaces/audit,授权范围只读审计、导出任务,仅创建受控审计导出申请,NONE；不得关闭涉及本人其他职能操作的风险事项,MASKED_OR_APPROVED_EXPORT,公司只读；字段最小化,不得写业务状态、批准自身导出或解密秘密,高敏审计导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M1,"P0-045,P0-046,P0-067,P0-068,P0-072",LOCKED_BY_SCHEME
SUPPLIER,SUPPLIER_ACCOUNT_ADMIN,主体管理,/supplier/workspaces/account-admin,本供应商主体、资质、职能账号,补资料、账号邀请/停用、取货点,本主体账号管理,HIDDEN,supplierId=当前供应商,不得访问其他供应商或交易价格,账号/结算账户/取货点变更；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M1,"P0-004,P0-005,P0-069,P0-070",LOCKED_BY_SCHEME
SUPPLIER,SUPPLIER_PRODUCT,商品运营,/supplier/workspaces/products,本供应商商品资料与渠道可见历史；不加载任何价格字段,商品草稿、模板资料、资质、集采标识、提交审核；ACTIVE商品渠道标识变更并追加历史,NONE,STRICTLY_HIDDEN,supplierId=当前供应商,不得读取/写入任何价格；不得自行上架；不得提交supplierId/productId/企业身份覆盖,批量提交/删除草稿；渠道标识变更使用幂等键和版本,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M2,"P0-006,P0-008,P0-061,P0-070",IMPLEMENTED_M2_P061
SUPPLIER,SUPPLIER_PRICING,价格管理,/supplier/workspaces/pricing,本供应商三类价格与历史,自主定价；供应价申请审核；零售/集采价免审留痕,提交初始三价和供应价变更,VISIBLE_OWN_ONLY,supplierId=当前供应商,不得读取其他供应商或静默修改已生效供应价,提交供应价/批量调价/导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M2,"P0-008,P0-019,P0-070,P0-071",FROZEN_M2_000
SUPPLIER,SUPPLIER_INVENTORY,库存/仓库,/supplier/workspaces/inventory,本供应商ACTIVE平台SKU唯一库存余额与变更记录,入库、出库修正、盘点、报损和安全库存阈值,仅库存调整规则内；订单预扣/释放/确认无公开权限,HIDDEN,supplierId由当前会话派生且sku归属先校验,不得直接覆盖库存、提交supplierId/companyId或访问任何价格审批,盘点/报损/敏感批量调整按后续规则,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M2,"P0-023,P0-031,P0-063,P0-070",IMPLEMENTED_M2_P063
SUPPLIER,SUPPLIER_FULFILLMENT,订单履约,/supplier/workspaces/fulfillment,本供应商履约子单及必要取货信息,接单、备货、交接,NONE,HIDDEN,supplierId=当前供应商子单,不得查看其他供应商商品或主订单财务,异常交接/批量出库,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-031,P0-070",LOCKED_BY_SCHEME
SUPPLIER,SUPPLIER_AFTERSALES,售后,/supplier/workspaces/aftersales,本供应商责任相关售后,举证、处理意见、收货确认,NONE,HIDDEN,supplierId=当前供应商售后项,不得向用户直接退款或改公司责任结论,举证上传/责任确认,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M5,"P0-038,P0-039,P0-070",LOCKED_BY_SCHEME
SUPPLIER,SUPPLIER_FINANCE,财务对账,/supplier/workspaces/finance,本供应商供应价快照、账单、付款凭证,差异申诉、确认账单、确认收款,NONE,VISIBLE_OWN_ONLY,supplierId=当前供应商,不得查看平台毛利、其他供应商或触发自动打款,账单确认/收款确认/导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M5,"P0-040,P0-041,P0-042,P0-060,P0-065,P0-070",LOCKED_BY_SCHEME
SUPPLIER,SUPPLIER_AUDIT,只读审计,/supplier/workspaces/audit,本供应商审计与账号活动脱敏视图,仅申请受控导出,NONE,MASKED_OWN_ONLY,supplierId=当前供应商,不得写业务、跨供应商或批准自身导出,审计导出；双人复核按自然人identityId，不得同人跨账号完成,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M1,"P0-004,P0-070,P0-072",LOCKED_BY_SCHEME
ENTERPRISE,ENTERPRISE_ADMIN,企业管理员,/enterprise/workspace,本企业认证、成员、地址、发票、采购订单,成员、资料、地址、发票、订单权限内操作,企业内部审批（如配置）,HIDDEN,enterpriseCustomerId=当前企业,不得访问供应价、个人福利卡或其他企业,成员/税号/银行资料,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-028,P0-077,P0-080",LOCKED_BY_SCHEME
ENTERPRISE,ENTERPRISE_PURCHASER,企业采购员,/enterprise/procurement,集采标识商品、本企业采购车与订单,采购车、下单、收货、售后,NONE,HIDDEN,enterpriseCustomerId=当前企业,不得访问供应价、个人福利卡或跑腿大厅,大额订单/对公转账提交,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-029,P0-062,P0-078,P0-079",LOCKED_BY_SCHEME
CONSUMER,CONSUMER_USER,个人用户,/pages/home/index,公开商品、自身购物车/订单/福利卡/地址,下单、支付、收货、售后、自身资料,NONE,HIDDEN,consumerUserId=当前用户,不得访问供应价、企业价未授权视图或他人数据,支付/退款/地址,登录后选择一个职能；会话固定workspaceRoute；切换职能重新签发并审计,M3,"P0-020,P0-021,P0-083,P0-098",LOCKED_BY_SCHEME
